
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
    74    2    10     29.0    0.494     0
    75    2     7     27.0    0.500     0
    76    2     4     18.0    0.258     1
    77    2     1     27.0    0.473     0
    78    2     7     26.0    0.515     0
    79    2     4     27.0    0.336     0
    80    2     6     28.0    0.625     0
    81    2     7     25.0    0.470     1
    82    2     5     23.0    0.455     1
    83    2     4     23.0    0.455     1
    84    2     4     26.0    0.364     0
    85    2     5     27.0    0.682     0
    86    2     6     25.0    0.422     0
    87    2     2     18.0    0.273     1
    88    2     6     25.0    0.427     1
    89    2     5     30.0    0.409     0
    90    2     6     26.0    0.461     1
    91    2     5     25.0    0.561     0
    92    2     7     31.0    0.580     0
    93    2     7     26.0    0.500     0
    94    2     6     27.0    0.591     0
    95    2     7     31.0    0.538     0
    96    2     3     21.0    0.409     1
    97    2     3     27.0    0.455     0
    98    2     5     25.0    0.462     1
    99    2     6     25.0    0.403     1
   100    2     8     28.0    0.545     0
   101    2     6     29.0    0.455     0
   102    2     5     23.0    0.379     1
   103    2     4     24.0    0.439     1
   104    2     5     24.0    0.409     0
   105    2     7     25.0    0.424     1
   106    2     6     25.0    0.416     0
   107    2     4     26.0    0.355     1
   108    2     5     25.0    0.545     0
   109    2     9     29.0    0.517     1
   110    2     7     24.0    0.477     0
   111    2     5     32.0    0.682     0
   112    2     5     29.0    0.500     0
   113    2     6     27.0    0.555     1
   114    2     9     28.0    0.466     0
   115    2     4     21.0    0.409     1
   116    2     6     29.0    0.409     0
   117    2     6     30.0    0.648     0
   118    2     6     26.0    0.416     0
   119    2     3     28.0    0.528     0
   120    2     5     25.0    0.500     0
   121    2     7     30.0    0.364     0
   122    2     8     33.0    0.505     0
   123    2     6     25.0    0.429     1
   124    2    10     29.0    0.526     1
   125    2     7     28.0    0.508     0
   126    1     4     19.0    0.303     0
   127    1     5     30.0    0.614     0
   128    1    14     25.0    0.369     0
   129    1     3     20.0    0.364     0
   130    1     7     20.0    0.341     0
   131    1     5     23.0    0.500     0
   132    1    11     22.0    0.455     0
   133    1     8     27.0    0.445     0
   134    1     4     27.0    0.432     0
   135    0     4       --       --     0
Total extinctions: 0
Generation time: 11.305 sec (10.632 average)

 ****** Running generation 3 ****** 

Population's average fitness: 22.23404 stdev: 3.67981
Best fitness: 34.00000 - size: (6, 26) - species 69 - id 2391
Average adjusted fitness: 0.529
Mean genetic distance 3.189, standard deviation 0.250
Population of 785 members in 136 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    3     5     28.0    0.570     3
     2    3     5     25.0    0.460     1
     3    3     4     22.0    0.493     3
     4    3     9     24.0    0.470     2
     5    3     7     28.0    0.580     3
     6    3     6     25.0    0.446     3
     7    3     7     26.0    0.540     2
     8    3     7     27.0    0.567     1
     9    3     7     23.0    0.455     1
    10    3     6     25.0    0.504     3
    11    3     6     26.0    0.497     3
    12    3     6     30.0    0.606     3
    13    3     6     27.0    0.520     2
    14    3     9     27.0    0.560     1
    15    3     8     30.0    0.600     3
    16    3     6     27.0    0.491     3
