Iteration: 284 of 36000, ANNs: 12, Score, mean: 2.67, max: 6.00 - took 0.08s
Iteration: 285 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 286 of 36000, ANNs: 12, Score, mean: 2.33, max: 6.00 - took 0.09s
Iteration: 287 of 36000, ANNs: 12, Score, mean: -0.33, max: 4.00 - took 0.08s
Iteration: 288 of 36000, ANNs: 12, Score, mean: 0.83, max: 8.00 - took 0.08s
Iteration: 289 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.08s
Iteration: 291 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 292 of 36000, ANNs: 12, Score, mean: 4.00, max: 10.00 - took 0.09s
Iteration: 293 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 294 of 36000, ANNs: 12, Score, mean: 1.17, max: 8.00 - took 0.09s
Iteration: 295 of 36000, ANNs: 12, Score, mean: 1.17, max: 8.00 - took 0.09s
Iteration: 296 of 36000, ANNs: 12, Score, mean: 3.17, max: 8.00 - took 0.09s
Iteration: 297 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 298 of 36000, ANNs: 12, Score, mean: 2.50, max: 8.00 - took 0.09s
Iteration: 299 of 36000, ANNs: 12, Score, mean: 0.33, max: 4.00 - took 0.08s
Iteration: 301 of 36000, ANNs: 12, Score, mean: -0.50, max: 6.00 - took 0.08s
Iteration: 302 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.08s
Iteration: 303 of 36000, ANNs: 12, Score, mean: 0.17, max: 6.00 - took 0.09s
Iteration: 304 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 305 of 36000, ANNs: 12, Score, mean: 0.67, max: 4.00 - took 0.08s
Iteration: 306 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.08s
Iteration: 307 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.08s
Iteration: 308 of 36000, ANNs: 12, Score, mean: 2.50, max: 6.00 - took 0.08s
Iteration: 309 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 311 of 36000, ANNs: 12, Score, mean: 2.00, max: 6.00 - took 0.09s
Iteration: 312 of 36000, ANNs: 12, Score, mean: 1.83, max: 4.00 - took 0.08s
Iteration: 313 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.08s
Iteration: 314 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.08s
Iteration: 315 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 316 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.08s
Iteration: 317 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.08s
Iteration: 318 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.08s
Iteration: 319 of 36000, ANNs: 12, Score, mean: 1.83, max: 6.00 - took 0.08s
Iteration: 321 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 322 of 36000, ANNs: 12, Score, mean: 1.33, max: 8.00 - took 0.09s
Iteration: 323 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 324 of 36000, ANNs: 12, Score, mean: 0.33, max: 8.00 - took 0.09s
Iteration: 325 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
Iteration: 326 of 36000, ANNs: 12, Score, mean: 0.83, max: 8.00 - took 0.08s
Iteration: 327 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 328 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 329 of 36000, ANNs: 12, Score, mean: 1.33, max: 6.00 - took 0.09s
